run_id,timestamp,model_params,accuracy,positive_precision,positive_recall,positive_f1
20251003_091142,2025-10-03 09:12:52,"{'C': 10, 'gamma': 0.1, 'probability': True}",0.9107838891294933,0.8141176470588235,0.7315010570824524,0.7706013363028953
20251003_093226,2025-10-03 09:32:51,"{'C': 100, 'gamma': 0.1, 'probability': True}",0.8977912516240797,0.7674943566591422,0.718816067653277,0.74235807860262
20251003_093312,2025-10-03 09:33:37,"{'C': 10, 'gamma': 0.1, 'probability': True}",0.9107838891294933,0.8141176470588235,0.7315010570824524,0.7706013363028953
20251003_093456,2025-10-03 09:35:21,"{'C': 11, 'gamma': 0.1, 'probability': True}",0.9094846253789519,0.8127962085308057,0.7251585623678647,0.7664804469273743
20251003_093537,2025-10-03 09:36:02,"{'C': 9, 'gamma': 0.1, 'probability': True}",0.9138155045474231,0.8231132075471698,0.7378435517970402,0.778149386845039
20251003_093622,2025-10-03 09:37:04,"{'C': 1, 'gamma': 0.1, 'probability': True}",0.9060199220441749,0.8595505617977528,0.6469344608879493,0.738238841978287
20251003_093738,2025-10-03 09:38:03,"{'C': 8, 'gamma': 0.1, 'probability': True}",0.913382416630576,0.8226950354609929,0.7357293868921776,0.7767857142857143
20251003_095132,2025-10-03 09:51:58,"{'C': 100, 'gamma': 0.01, 'probability': True}",0.9077522737115634,0.7838427947598253,0.758985200845666,0.7712137486573577
20251003_100313,2025-10-03 10:04:46,"{'C': 11, 'gamma': 0.4, 'probability': True}",0.9116500649631876,0.8272506082725061,0.718816067653277,0.7692307692307693
